year,category,title,description,source_url
1985,Science,Antarctic ozone hole confirmed,"British Antarctic Survey scientists published evidence of severe seasonal ozone depletion over Antarctica, triggering the treaty process that followed.",https://en.wikipedia.org/wiki/Ozone_depletion
1986,World events,Chernobyl nuclear disaster,"A reactor explosion in Soviet Ukraine became the worst nuclear accident in history and reshaped public attitudes to nuclear power.",https://en.wikipedia.org/wiki/Chernobyl_disaster
1987,World events,Montreal Protocol signed,"Nations agreed to phase out ozone-depleting substances in what became one of the most widely ratified environmental treaties.",https://en.wikipedia.org/wiki/Montreal_Protocol
1989,Technology,The World Wide Web is proposed,"Tim Berners-Lee circulated a proposal at CERN for a hypertext information system, the design that became the web.",https://en.wikipedia.org/wiki/World_Wide_Web
1989,World events,Fall of the Berlin Wall,"The opening of the Berlin Wall began the end of the Cold War division of Europe.",https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall
1990,Space,Hubble Space Telescope launched,"Hubble began returning images that reshaped astronomy and public understanding of the universe.",https://en.wikipedia.org/wiki/Hubble_Space_Telescope
1991,Technology,The first website goes public,"CERN put the first website online, making the web publicly accessible.",https://en.wikipedia.org/wiki/History_of_the_World_Wide_Web
1994,World events,Apartheid ends in South Africa,"South Africa held its first fully democratic election, ending decades of legislated racial segregation.",https://en.wikipedia.org/wiki/Apartheid
1996,Science,Dolly the sheep is cloned,"The first mammal cloned from an adult somatic cell opened a new era in genetics and bioethics.",https://en.wikipedia.org/wiki/Dolly_(sheep)
1997,Technology,Deep Blue defeats a world chess champion,"IBM's Deep Blue beat Garry Kasparov in a full match, the first such defeat of a reigning champion by a computer.",https://en.wikipedia.org/wiki/Deep_Blue_versus_Garry_Kasparov
1998,Space,Construction of the ISS begins,"The first modules of the International Space Station were launched, starting a continuous human presence in orbit.",https://en.wikipedia.org/wiki/International_Space_Station
1999,World events,World population reaches six billion,"The United Nations marked the global population passing six billion people.",https://en.wikipedia.org/wiki/World_population
2000,Science,First draft of the human genome,"Researchers announced a working draft of the human genome sequence.",https://en.wikipedia.org/wiki/Human_Genome_Project
2001,Technology,Wikipedia is launched,"A freely editable encyclopedia began, growing into one of the most visited reference sources in the world.",https://en.wikipedia.org/wiki/History_of_Wikipedia
2003,Science,Human Genome Project completed,"The international effort to sequence the human genome was declared essentially complete.",https://en.wikipedia.org/wiki/Human_Genome_Project
2004,Technology,Facebook launches,"Social networking began its shift from niche websites to global mass communication.",https://en.wikipedia.org/wiki/History_of_Facebook
2005,Technology,YouTube launches,"Online video moved from specialist hobby to everyday media.",https://en.wikipedia.org/wiki/YouTube
2006,Space,Pluto reclassified as a dwarf planet,"The International Astronomical Union adopted a formal definition of a planet, reclassifying Pluto.",https://en.wikipedia.org/wiki/IAU_definition_of_planet
2007,Technology,The first iPhone,"The modern smartphone arrived, putting the internet in most people's pockets over the following decade.",https://en.wikipedia.org/wiki/IPhone_(1st_generation)
2008,World events,Global financial crisis,"A banking collapse triggered the deepest global recession since the 1930s.",https://en.wikipedia.org/wiki/Great_Recession
2010,Science,First synthetic bacterial cell,"Researchers created a bacterial cell controlled by a chemically synthesised genome.",https://en.wikipedia.org/wiki/Mycoplasma_laboratorium
2011,World events,World population reaches seven billion,"The United Nations marked the global population passing seven billion people.",https://en.wikipedia.org/wiki/Day_of_Seven_Billion
2012,Science,Higgs boson discovered,"CERN announced the discovery of a particle consistent with the Higgs boson, completing the Standard Model.",https://en.wikipedia.org/wiki/Higgs_boson
2014,Health,India certified polio-free,"The World Health Organization certified the South-East Asia region as free of wild poliovirus.",https://en.wikipedia.org/wiki/Poliomyelitis_eradication
2015,World events,Paris Agreement adopted,"Nearly every country agreed a framework to limit global temperature rise.",https://en.wikipedia.org/wiki/Paris_Agreement
2016,Science,Gravitational waves detected,"LIGO announced the first direct observation of gravitational waves, confirming a century-old prediction.",https://en.wikipedia.org/wiki/First_observation_of_gravitational_waves
2019,Space,First image of a black hole,"The Event Horizon Telescope released the first direct image of a black hole's shadow.",https://en.wikipedia.org/wiki/Messier_87
2020,Health,COVID-19 declared a pandemic,"The World Health Organization declared a pandemic, beginning the largest global public health disruption in generations.",https://en.wikipedia.org/wiki/COVID-19_pandemic
2020,Health,First mRNA vaccines authorised,"mRNA vaccines moved from research to mass deployment within a year of the virus being sequenced.",https://en.wikipedia.org/wiki/MRNA_vaccine
2021,Space,James Webb Space Telescope launched,"The largest space telescope ever built launched, designed to observe the earliest galaxies.",https://en.wikipedia.org/wiki/James_Webb_Space_Telescope
2022,Technology,Generative AI reaches the public,"The release of ChatGPT brought large language models to mainstream use.",https://en.wikipedia.org/wiki/ChatGPT
2022,World events,World population reaches eight billion,"The United Nations marked the global population passing eight billion people.",https://en.wikipedia.org/wiki/Day_of_Eight_Billion
2023,Health,COVID-19 emergency phase ends,"The World Health Organization ended the public health emergency of international concern.",https://en.wikipedia.org/wiki/COVID-19_pandemic
2024,Space,First commercial spacewalk,"The Polaris Dawn crew conducted the first spacewalk carried out by a private mission.",https://en.wikipedia.org/wiki/Polaris_Dawn
